profileName,review/summary,review/score
"Stefan Mueller ""Werbe-Texter""",Awesome - wanna use dramatica? You definitely need this book,5.0
"""dirtpile""",Made me wish I was Einstein.,3.0
,Numbers Puzzles Galore,4.0
Jean,The most complete book on vector quantization,5.0
,This is a very good book for students and engineers.,5.0
Moosh,Comprehensive but marred by poor printing,3.0
"David Jimenez ""DJ""",Great reference book for its topic,5.0
,"large volume,not enough proof, introductory, good organizati",4.0
"Laurence Bush ""horror critic""",Unique Weird Orientalia from the 1930's,5.0
Rob,&quot;Gold and Greenstone&quot; Barry Crump,5.0
sayock,No &quot;Insider&quot; Secrets,3.0
T.Bird,"Not an ""ultimate guide""",2.0
Adam Glickman,Everything my advisor SHOULD have told me!,5.0
,Exactly what I needed.,5.0
JudgeJoe,It works,4.0
stargazer,"THIS BOOK SAVED ME OVER $100,000.00!!!",5.0
Carlo A. Taboada Jr.,Nothing you don't already know,1.0
Bartleby,Great treatment of the defeat of reticence by exposure,5.0
Edward J. Uecker,Rochelle explains It All for You,5.0
"Woody ""Woody""",A must read for anyone with blood pressure issues,5.0
,Real Alaskan Sourdough,5.0
Gary W. Marian,True Alaskan cooking,5.0
MERRIBETH NORD,Cheechako to Sourdough in 190 Pages,5.0
,A Cookbook Every Baker Should Own,5.0
"happygardeningmama ""happygardeningmama""",Cannot recommend,1.0
"Kiki B. ""The Shepherdess""",The best sourdough book around,5.0
Heddlemaid,Worth buying just for the waffle recipe,5.0
"Linda Pool ""cookbookaholic""",A Bit of Heaven,5.0
C.J. Whale,Imprecise Recipes Make Bad Bread,2.0
c.arthur,cant cook sourdough without it,5.0
Clive Frazier,Enjoyed Ruth's Sourdough pancakes when she served them.,5.0
"mavis j.hintermeister ""Mavis J. Hint'""",Alaska Sourdough,5.0
Dnnis B. Hacker,The Best Sourdough Starter for Bread & Hot Cakes,5.0
Jo Ann Sutton,Alaska sourdough,5.0
"Tessa F. Briggs ""Tessa B""",Not your quick refrence cookbook,3.0
"Elizabeth ""Psychotherapist and Author of more...",The Best,5.0
Benjamin Meyer,Good for what it is,3.0
darwin,Alaska Sourdough,3.0
Aoy,Old and good,5.0
Fyfee,good basic,3.0
kjmichaelson,Tasty,5.0
Niki,Alaska Sourdough Book Reivew,4.0
"Gary D. Lackey ""Gary""",Sourdough Starter,5.0
Polly Smith,autumn,5.0
J. Osborne,What fun,5.0
Kenneth Montgomery,Sourdough...Alaska style,3.0
William H. Akins Jr.,Alaska Sourdough,5.0
Michael McKenna,Robert Kane's *The Oxford Handbook on Free Will*,5.0
Neal Judisch,Oxford and Kane have done it again!,5.0
Christian P. Erickson,Kane's Compilation Will Leave You Proud To Lose An Argument,5.0
"Trisha Baird ""Trisha Baird""",Awesome Preview of Europe!,5.0
Elizabeth Szymczak,great book---but......,5.0
D. Alanis,Very good synopsis of Europe,5.0
"P. Manuhoro ""poe""",good for the one who needs to see before deciding to go,4.0
Jennifer Perry,Europe Eyewitness Travel Guide by Dan Colwell,5.0
,Great book for travelling Europe,5.0
Peter,Disappointed Romanian!,1.0
"J. Hauser ""Yellow Page Expert""",The Travelers Companion,5.0
richter,Great travel guide to Europe!,5.0
tmahle,Dk Travel guides,5.0
"Tim Naff ""Tim""",A Superlative Planning Aide and Top-level Guide,5.0
Marcos F. G. Alves,"Poor maps, no hostels",3.0
"Melissa B. Derecola ""wasadz""",Good Overall Idea,5.0
"Amazon Customer ""7864845763574""","nice eye candy, but not as handy as the other guides",4.0
ny,Not the best,2.0
Plautus Cunha Filho,WONDERFUL BOOK,5.0
Cindy,Good but received defective book,4.0
R. Hadley,Colourful Digest Of Places To See In Europe,4.0
Rodrigo Llamozas,Going to Europe? Get this book!,5.0
"Rebecca of Amazon ""The Rebecca Review""",The Major Sights in Twenty Countries - Amazing!,5.0
Bjorn Viberg,Europe (Eyewitness Travel Guides) by Dan Colwell,5.0
"M. A. ZAIDI ""Ali Zaidi""",Helpful guide on tours through Europe,4.0
"gellio ""gellio""",The Quick Trip Around Europe!,3.0
Steven Sprachman,If it's Tuesday it must be Belgium,3.0
,Great Guide to Europe!,5.0
,excellent,5.0
A. Duncan,Great when assisted by another guide,3.0
,excellent turn of the century bow hunter and builders book,5.0
Kai G Davis,GREAT GIFT FOR ANY TRADITIONAL ARCHER,5.0
Dean M. Trone,hunting the hard way,5.0
Michael S. Collins,The Best Archery Book I've Ever Read!,5.0
,Modern Traditional Point of View,4.0
L. Carlson,This is a must read for anyone involved with traditional archery.,4.0
"J. P. Wilkens ""the pope""",Makes me want to go back to 1940 and hunt with him,5.0
Elmer Kurrus,Book is great - Purchase misleading !,4.0
Jason Darrah,5 stars is not enough,5.0
Tizzle,The classic longbow hunting book!,5.0
country,Hunting the Hard Way,5.0
Patrick,Great read,5.0
Linda Kimball,Hunting the Hard Way,5.0
Burak Eldem,An entertaining panorama on magics and demon,4.0
Anita Fix,a bibliophiliac wedding of the SURREALIST &amp; the OCCULTIST,5.0
"blackrose ""rosendubh""",Informative but dry...,4.0
Anita Fix,a bibliophiliac wedding of the SURREALIST &amp; the OCCULTIST,5.0
"David ""Mr. Mixer""",A Great Starter for one interested in the Occult,4.0
Impecunious fan,Disappointing,2.0
Mitzie,"The Little Book that Could, and Did.",5.0
,Homer or Moses?,4.0
Amazon customer,A classic,5.0
,A Painful Read... Break Out the Coffee,1.0
"""poetauthorscholar""",It was published. That's an accomplishment.,1.0
"Gavin O'brien ""gobrien138""",There's Only One Paolo,5.0
"""scottie6666""",yeah!,3.0
"Jon L. Albee ""Faulkner Wannabe""",Profound then. Truly horrible now.,2.0
"""dallascaptain""",Richardson's book a brilliant look at a mysterious person,5.0
Midwest Book Review,Filled from cover to cover with practical guidance,5.0
Rachael,Excellent book for handling feelings,5.0
Helen,Teaches an essential life skill!,5.0
,Outstanding!,5.0
"Bart Mccoy ""rev. bart""",weak,3.0
John Washington,Excellent perspective on communal living and human nature,5.0
"K. Corn ""reviewer""",Intense memoir told in brief segments by former members of The Farm,5.0
"Jennifer R. Andry ""Songbird""","If you are looking into starting or joining a commune, this book is for you.",5.0
"D. Thaler ""Dan""",From one who was there,4.0
L. Maxwell,Voices from the Farm: Adventures in Community Living,4.0
"G. E. Treaster Jr. ""creative maverick""",LOVE The Farm!,5.0
"Donald James ""donjames150""",Good book,5.0
Maria Alovert,awesome book about group dynamics of any kind,5.0
barbara dede,voices from the farm,5.0
Winifred Hinson,great book!,5.0
Melvyn Stiriss,Far Out Way to Live,5.0
,"Little one, maid of Israel",4.0
"Kaira ""WinterPromise Publishing""",A Good Look at the Culture of Assyrians and Israelites,5.0
,It Drew Air,1.0
Lawrence Duckles,The Battleship Bismarck reviewed,3.0
Tim Grasshoff,nice historical pictures,4.0
,Made me take a new look at my life -- and change it.,5.0
"Pieter Uys ""Toypom""",CLEAR AND INSPIRING EXPLANATION OF SPIRITUAL TREATMENT,5.0
"""pageh""",Change the subconscious pattern through ...,5.0
"B. Thomas ""bthomas""",Good help for the willing,4.0
"Pieter Uys ""Toypom""",Harnessing thought-power,5.0
Dr. Greg,Treat Yourself to Life (1954),5.0
E.C. Marm,RCB rocks!,5.0
Tonia,Treat yourself to life,5.0
A. J. Arndt,One of my favorite books.,5.0
"Penny Lane ""The BandAid""",Very Not Worth Your Time,1.0
"perrymasonary ""perrymasonary""",Great Projects! Even for a rainy day!,5.0
"C. Penn ""WordWeaving""",Highly recommended,4.0
William Keevers,Map your Imagination,5.0
Brian Barnard,A Beautiful Map,5.0
hanyi ishtouk,Smartly done,4.0
Breck Breckenridge,Ludicrous and silly,1.0
calvinnme,Great advice on caring for your Birman,5.0
Valerie Caliendo Kotas (Katacali Cattery),The Guide to Owning a Birman Cat (The Guide to Owning),5.0
,"Karen Cummings, comes through.",5.0
K. T. Pehrson,textbook,4.0
Rebecca Herman,My new favorite book from the Avon True Romance series.,5.0
,An awesome novel from May McGoldrick,5.0
sarah,a great book for Historical romance lovers,4.0
"jaina_solo ""jaina_solo""",Loved it!,5.0
atlantis_girl,Best Avon True Romance.,5.0
Patricia Ahern,Great! One of the Best In the Seriess !!,5.0
hiphopgirl_1000,A great romance,5.0
"Delilah ""luv is my virtue""",YES!!!,5.0
Charlie Lewis,Cute,4.0
Book lover,Fave Book!!!!,5.0
A. Notle,This one is one of my favorite's,4.0
Meg,Could have been better...,3.0
Jess,&lt;3,5.0
C. McIntyre,good romance for teens,4.0
Catherine S. Shull,not as good as the others,3.0
"Anne Markeby ""Lady Witt""","""Romance""",3.0
"""celes1""",Not the best in the series,2.0
"Olena Y. Rabinowitz ""Book lover""",Very authentic,4.0
"Matanah ""SistahSpeak!""",A good learning tool...,4.0
"ButterflySoulfire ""EO""",Great starting point,5.0
M. Herranz,Not the best,2.0
Truth-teller,Great Source for Yoruba,4.0
John Bolender,Much more sensible than most books critical of the field.,4.0
,Fascinating and Terrifying,4.0
,"Informative, but left me wanting more",4.0
Mira de Vries,Somatic medicine as an alternative to psychiatry?,3.0
,"A brilliant,and compassionately written book.",5.0
Marc Bernstein,This book should be required reading by psychiatrists,5.0
"nnn ""nnnnn""",Lebron James,4.0
Jason,Great Product!,5.0
Laura L. Skiera,Lebron,4.0
L. Chencinski,King James Scores!,4.0
Person A,SLAM,5.0
"Pablo rodriguez ""Pablo""",KING JAMES is awsome,5.0
,AWESOME BOOK,5.0
,Winnebago!!!!!!!!!!!!!!!!!!!!!!,5.0
,"Stephen F. Miller Place, NY",4.0
,The Truth on King James!,5.0
,Yo Homie this is my sweet review,5.0
,"Stephen F. Miller Place, NY",4.0
,This is an excellent book,5.0
"Garren Hews ""Terrahawk""",Overall a very good read,5.0
,A decent read,3.0
Jon Joel Westmore,ME FASCINA LEER LA VIDA PROFESIONAL,5.0
Jean Marie Clair,POCAS COSAS TAN IMPACTANTES Y,5.0
,SI TE ATRAEN LAS HISTORIAS REALES,5.0
,SOY MUY EXIGENTE EN MATERIA DE BOX,5.0
,MARAVILLOSAS BIOGRAFIAS DE TRIUNFADORES!,5.0
Lucia Derbez,"A MI ME CHOCA EL BOX, PERO A MI ESPOSO",5.0
,ESTE LIBRO CONTIENE TODO,5.0
Jennifer Jhonson,SI TE ATRAEN LAS HISTORIAS REALES,5.0
Marisela Velarde,Un librazo que te deja KO !!!,5.0
GEORGINA GRECO,INTERESANT&Igrave;SIMO HASTA PARA QUIENES,5.0
Greg Jameson,SOY UN APASIONADO DEL BOX,5.0
Alfonso Escalante,"LO QUE QUIERAS, PERO LO M&Aacute;S SAAAABROSO !",5.0
"Dan F. Hollingshead ""Dan""",Solid reference material for someone planning a build,4.0
Lydia M. Ross,Awesome!,5.0
Joni,One of a kind book for timber frame building.,5.0
"M. B. Cundall ""amazon junkie""",Fabulous!,5.0
Kongfuzi,Classic must have for Timberframers,5.0
"John ""John""",Ok reference book,4.0
C. M. Potter,no technical information,2.0
Rose Walls,Hanford Mills museum,4.0
Lou,you will not be able to buils a timber frame house,1.0
LGabe1111@AOL.Com,Outstanding guidebook for building your own timberframe home,5.0
"Daiku ""CB""",My favorite Timber Framing Book,5.0
B. Rehart,Great Book...early work on Timber Framing,5.0
"J. Roy ""jr""","well written, very informative",5.0
Apreutesei Cosmin,Excellent,5.0
Reviewer,Nearly three decades old and more relevant than ever,5.0
A. Cheeney,Building the Timber Frame House,5.0
Ian McLeod,"Excellent book, very poor e-book editing",1.0
Jarbas Noronha Fh,A very good how-to manual.,4.0
Russell C. Berenson,Great book,4.0
Amishpig,Jaquith History,4.0
"Sandra K. Shirah ""kaliannah.com""",LOVED IT!,5.0
,A Contemporary Fairytale Sure to Delight!,5.0
Alan Dale Daniel,Good Overview of Subject,4.0
William Hough,Thank You Norma,5.0
lifewise,Not Patterns - but Detailed Sketches,2.0
mickey moats,Pyrography Desings,5.0
janet,great gift,5.0
Virginia K. Baker,It has some good designs,4.0
"Cntrymouse ""Cntrymouse""",Gift for Grandson,5.0
rgilb,pyrography designs,4.0
R. Albin,Interesting,4.0
shelley larose,Long and boring,1.0
"Robert S. Newman ""Bob Newman""",Tales of the world I never knew and never will,5.0
Frank-Tommy Olsen,Excellent - as good as it gets!,5.0
S. Rubin,Singer writes scary stories,3.0
Christopher Culver,Short stories that use Jewish peasant life to express notions of more universal import,4.0
kiwi,Not sure about the title,5.0
"""redshoe""",A great informative must read. Not just for open marriage.,5.0
"""mcorraink""",An Excellent Book about Open Marriage - NOT Swinging!,5.0
parnassus2,"title refers to open communication and self examination, not swinging",5.0
Anthony D Ravenscroft,Outdated & overripe,1.0
"T. Thompson ""&#34;Passionate Learner&#34;""",A Must Read for anyone in A Relationship,4.0
"SerenaBlackCat ""Serena""","Actually, some decent advice.",4.0
J. C. Severus,"Hard to get thru, but worth it in the end",3.0
Thomas L. Cunningham,Open Marriage,4.0
,Good for a laugh,1.0
J. B. Ferdinands,one of the last in the series to collect !,4.0
Mr. S. E. Johnson,A step in the right direction!,5.0
erika,Never gets going,2.0
,"Fissure a mile-wide in this thin, confusing novel.",1.0
"Unspoken ""EZA""",Good Stuff,4.0
C. Sanford,Dorie's story of hope and healing,5.0
,Great testamony about God's love and power to heal,5.0
Jessica M. Cantner,Wonderful book,5.0
babo,"Now, The Rest of the Story",5.0
Beverly E Montgomery,Excellenet Book!,5.0
MDHC,Tough subject to deal with,5.0
,This was an intriguing book that influenced my destiny.,4.0
"comatus ""comatus""","On reflection, what do you think of it now?",5.0
"P. Spires ""P. Spires""",Interesting Concept,3.0
,Worth every penny!,5.0
,A true necessity for writers!,5.0
"KTB ""KTB""",A truly great resource,5.0
,Very thorough...,4.0
"MISTER SJEM ""sonofhotpie""",VERY INFORMATIVE,4.0
Masahiro Tamada,"now,on-going process for Ph.D./M.D. of a certain university",4.0
Paul Nelson,Orca Wisdom as told by Mary Getten,4.0
"K. Jones ""kjay12""",Open your mind and your heart!,5.0
Mary Jane Ludwig,Communication at its Best!!,5.0
Trouser Roller,Time to suspend judgement,5.0
Midwest Book Review,Makes for fascinating reading.,5.0
"Jane F. Griffith ""Jane Griffith""",Communicating With Orcas - The Whales Perspective,5.0
Julie Jordan,Read this book and help heal the earth,5.0
"L. Swope ""nature lover""",Great Piece of Scientific Journalism,5.0
Priscilla Friscia,Telling it like it is!,5.0
Shoshana Avree,Opens your heart and mind,5.0
"Chelsea Lynn ""C.L.S""",Not Convinced...,2.0
"George C. Denniston ""MD""",Can you believe?,5.0
Molly Myers,Jill Malter,5.0
delia ruhe,This must be a must-read,5.0
N. Kobrowski,Yet another unsubstantiated case....,2.0
"Reginleif II ""reginleif2""",Molly Myers,1.0
Jill Malter,Dishonest,1.0
Byron W. Campen,"Pretty good, although a few flaws",4.0
"Emmanuel Gutierrez ""Meloinc""",Gardening Book,5.0
Wayne Riggle (FyrMedicFL@aol.com),"Concise, thorough and packed with useful information",5.0
Dorothy Muench,Gardening lawn book,1.0
,Good (albeit inconsistent) advice; your lawn will improve.,4.0
,The greenest grass imaginable,5.0
,Good information but very disorganized,3.0
Dee Dixon,It might be easier to be green than you think!,3.0
Craig Matteson,Has many helpful tips if not a systematic guide,4.0
,Best lawn on the block!!!,5.0
,Excellent results from an Excellent book,5.0
,"Good tips, but poorly organized",3.0
,Right to the point - no fluff - right on!,5.0
Frank,Very useful.,4.0
beaker,not just for theologists,5.0
,Frightening,5.0
Alyssa A. Lappen,A testament to horrors,5.0
"Meaghan Good ""meggilyweggily""",A museum exhibit inside a book,4.0
"Pieter Uys ""Toypom""","Ancient tradition, many modalities",4.0
,Good introduction to Traditional Chinese Medicine,4.0
Leslie Arden Foote,lfoote,5.0
Lincoln,The BEST introduction to Chinese Medicine on the market.,5.0
J. V. Litt,Great resource for Chinese/Eastern medincine,5.0
"Theseus ""theseus""",Beautifully Illustrated,5.0
"achdukleidustein ""none""",Why Is This A Good Book?,5.0
Rochelle Cabram,A Book That Is Worth a Second Look,5.0
Amy Ouellette,Excellent coffee table Chinese Medicine book!,5.0
Bamboo,Chinese medicine,4.0
Paul Lee,nice book,5.0
Bill,The 3 Megaton Gamble,5.0
"Shalom Freedman ""Shalom Freedman""",A profound if somewhat exaggerated analysis of 'global secularization',5.0
Billy,It's About Time!,5.0
,Rare find,4.0
"Michael Tsanis ""ArtDirector-amuck!""",Kerri O'Donnell Rocks!,5.0
Rachel H. Nguyen,A strange and enigmatic book...,5.0
"Duane ""xphilosopherking""",Challenging but rewarding,4.0
Harmony-Faith Charisma Izabela Jazmyn McDonague,BEST BOOK EVER!!,5.0
,one of the best night world books!!!!,5.0
,three sisters to die for.......,3.0
"K. Davis ""The Rose Bride""",Disappointing to say the least,1.0
,"The most charming, captivating work from LJ Smith!",5.0
,S' O.K,5.0
guenievere__@hotmail.com,Excellent Book!!!!!!,5.0
,Best book I've ever read...,5.0
,Wow! This is very impressive!!,5.0
,THE BEST OF THE BEST BOOKS,5.0
,Great!!!!,5.0
,The Best of the Night World,5.0
,This is the all time best book!,5.0
,It was good!!,5.0
,This book is one of my favorates.,5.0
,My favorite of all her books!!!!!!!,5.0
,Second Book in the Night World Series,5.0
,This book had me giggling,5.0
"""islandmunky""",Another awesome book from LJ Smith!,5.0
,THIS IS MY FAV BOOK IN THE SERIES!!!!,5.0
DavisJes,Mary Ash,5.0
Werther Bentine Torres,Quick and Fun,3.0
Leeanna Chetsko,Night World 2: Daughters of Darkness,1.0
Mallory S. Burroughs,a good read,5.0
,This was a great book!,5.0
,An amazing story.,5.0
,The best Night World book - definately,5.0
,Wow! L.J. Smith is definitely my new favorite author!,5.0
,Cameo Appearances,5.0
,This is the book to remember,5.0
,Beautiful Love Story,5.0
,EXCELLENT!!!!!!!!!!!,5.0
,EXCELLENT!!!!!!!!!!!,5.0
,The best so far,5.0
,This was one of L.J's best!!,5.0
,Night World,5.0
Thomasgraphics@msn.com,the BEST nightworld ever!,5.0
,One of my Favorites,5.0
,One of my Favorites,5.0
,The Best Yet!!!,5.0
,Loved it,5.0
,BEST!,5.0
,The Best,5.0
,It's got me hooked.,5.0
,Read it for ASH,4.0
,great book though not the very best!!! =,5.0
MaeveH5581@aol.com,Perfect,5.0
,Ash....can I say WOW!!!?,5.0
,Fantastic,5.0
Redfern55@hotmail.com,Best book in the Series!!!,5.0
,I loved this book!,5.0
,My Favorite So Far,5.0
,The best of the &quot;Night World&quot; series,5.0
,weird!,3.0
Diana Nguyen,Remarkable.,4.0
Jennifer Black,Night World - Book Two,4.0
"Ash Tanya ""T""",Soul-mates,5.0
"Anneliese ""Anneliese""",Possibly the Best out of this series!,5.0
James Baldwin,Amazing!,4.0
"Nancy E. ""Nancy""",Ash rules!,5.0
Elise,Daughters of Darkness is great!,5.0
,This book is the best of all times!,5.0
,*one of the best!*,5.0
K1mca,Daughters of darkness the best of night world,5.0
,One of the best books I've ever read!,5.0
Rebecca,The BEST book of the Night World series!!!!!,5.0
M. Cookson,best of the Night World books,5.0
,"Daughters of Darkness, a love story in a supernatural series",5.0
"R. M. Fisher ""Raye""","Murder, mystery, werewolves, vampire and soulmates",3.0
"VampireNovelFan ""VampireNovelFan""",Worth a read,4.0
Deidre Huesmann,Vampires And Mystery? You'd Be Surprised,4.0
Jess Arnold,"Excellent, one of the best",5.0
Marcia,My favorite Night World book!,5.0
"""wujasmine""",One of my favourites,5.0
,Daughters of Darkness-THE BEST,5.0
,The best book in the &quot;Night World&quot; Series,5.0
,Daughters of Darkness: A must read,4.0
Nicolette,Another Triumph,4.0
,One of her best in the Night World series!,4.0
,Greatgreatgreatgreatgreat,5.0
,It is the best book in the series.,5.0
,If you're into vampire and romance you should read this book,5.0
brenna,great,5.0
"""seugiya""",It was ok,3.0
,I thought this book was excellant and would recommend it.,5.0
affanfarooq@hotmail.com,Ash is soooooo fine!!!!!!!!!!!1,5.0
,READ IT READ IT READ IT!,5.0
,This book was d'bom,5.0
,Awesome,5.0
,Awsome!,5.0
,Ash rocks my world!,4.0
,I absolutely LOOOOOOOOOOOOOOOVE this book!!!!!!!!!!!!!!!!!!!,5.0
,Very Funny heeheehee,5.0
,2 Humans and 3 vampires after a vampire slayer,4.0
vhubbard1@yahoo.com,the best!,5.0
,A love story for haters of love and romance,5.0
,THE ABSOUITE BEST BOOK EVER!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5.0
,THERE HAS TO BE A SEQUEL,5.0
,Ok I admit it,5.0
,L.J Smith is the BEST EVER!,5.0
,These are the most amazing characters!,5.0
TonyDav@msn.com,The best of the Night World books,5.0
,Tha BOMB of a book!!,5.0
,I'm hooked and I want some more ...,5.0
,L.J. Smith has so many correct details....,5.0
,To cool,5.0
,Lisa Jane Smith does it again! (YEAH!),5.0
,WOW!!!!!!!!,5.0
,Three vampire sisters run away and fall in love.,5.0
,I just love this book!,5.0
,Read this book!,5.0
,awesome book..buy it if you haven't...,5.0
,You can't put it down!,5.0
,"Vampires and Witches, oh yes!",5.0
,This book rules!!!,5.0
,Luv the book!,5.0
Pam Davidson,The book was awesome!!!,5.0
,I loved this book!!!,5.0
,It was great!!!,5.0
,I love this book!,5.0
,"it was soooo awsome, totally fantastic and captivating",5.0
,The Best One in the Series!,5.0
,It really made you think...,4.0
,EXCELLENT!!!,5.0
katherine,a great read,5.0
Amber,I loved this book!!!,5.0
"""alley_kat""",Another wonderful book!!!,5.0
,i love LJ Smith!,5.0
,Smith at her best! What more can be said!!!!!!!!!!!!!!!!!!!!,5.0
,I love the story!,4.0
,BEST LJS BOOK!!!!!!,5.0
,You gotta read this book!,5.0
,This book was a great book that i have read many times!,5.0
,The best Night World book ever!!!!,5.0
Marlene B Norton,Great puzzles,5.0
,Disappointing,2.0
Meka Willinger Francis,"Great puzzles, bad format",2.0
,Fun little book of puzzles,4.0
,A superb snapshot of Colonial America up to 1750.,5.0
"asphlex ""asphlex""",a sadly incomplete yet fully realized work,5.0
I.M. Grateful,mirroring the reader,5.0
I14 Screwdriver,An Enlightening Step in All Americans' Past,5.0
Harry Eagar,Time again to read the liberal idea of America,4.0
K. Lang,"Breaks Up the Monotony, In My Opinion",4.0
,Don't Waste Yout Time,2.0
,Don't Waste Yout Time,2.0
,"Thick, dry and packed full of somewhat useful information",2.0
Amer Mattar,Dreams that kill.....,5.0
"Blue Tyson ""- Research Finished""",Super Reader,3.0
htmn366@aol.com,Makes you not want to sleep at night.....,4.0
"Chadwick H. Saxelid ""Bookworm""",Dream Warriors must close door opened to nightmare.,4.0
,I WISH THIS WOULD BE A MOVIE.,5.0
,A general guide for the interpretation of analytical data,4.0
Midwest Book Review,"A unique, off-the-beaten-path travel guide and planner.",5.0
Katherine Williams,Awful,1.0
Just Left of Middle,Fantastic Book,5.0
Nebbye1,Sleeping Boy,5.0
Meg Hoffman,The Sleeping Boy by Barbara J. Stewart,5.0
"Edward Juan ""ghost""",A story that is ... strangly expressed.,3.0
,Disturbing,1.0
Nancy Spear,An excellent account of daily life during the civil war!,5.0
D. S. Thurlow,First-Rate Recollections of the Civil War,5.0
Roberto Remes,helpful for decision makers,5.0
"A. Cooper ""Book Buying Grandmother""",Fun Novel for Foodies,5.0
P. Newhart,The Food of Love,5.0
June,A Taste of Italy,4.0
"Oku ""EcoMom""",Fun,5.0
"Vincent Crowder ""Food and Wine Nut""",The title says it all...,4.0
"Vanitha Srinivasan ""Vanitha""",Perfect book for a long flight....,4.0
A reader,Methinks Bruno picked the wrong girl,3.0
Raymond J. Cristina,"Three reasons to love ""Food of Love""",5.0
Old Reader,A fun read,4.0
Bookworm Carolyn,Delicious reading,4.0
"scoop25 ""scoop25""",A Scrumptious Romp,4.0
"D. Goodwin ""Debrina""",Delicious!,5.0
maria1971,simply delicious,5.0
Chick with Book,Wonderfully romantic book that sweeps you to Italy,5.0
Raspberry,The Food of Love,5.0
"READ&LISTEN ""SKI BUM""",Enjoyable Feast of Words!,4.0
Bookish lady,I just wanted to cook for my husband on those dark and stary nights...,5.0
"Amy V. Haas ""Healthybirth.net""",delightful!,4.0
Mary Mac Cabe,Fun,4.0
"Anthony Levi ""Lover of Life""",One of the best!,5.0
"CaliforniaMDS ""CaliforniaMDS""",Cameriere!,4.0
Karen Zukor,"Food porn, and I mean that in the best possible way",4.0
"Stephen Richmond ""Librarian/Teacher/Reader an...",Delicioso; virtuoso; bellissimo!,5.0
"M. Griffin ""viviankosiba""",Okay-Simple Read,3.0
L. Posey-Alandt,"""Chick Lit "" for ""Foodies""",5.0
R. Chinea,Not very good....,2.0
